"MODELE          ","                "
"MACHINE         ","MC#01   "
"RAPPORT         ","VENT MENSUEL"
"FICHIER         ","FILE010"
"MODE            ","Z   "
"COMPTEUR Z      ","0084"
"DATE            ","01-09-2023"
"HEURE           ","19:04"

"ENREGISTREMENT  ","QTE VENTE BRUT  ","CA BRUT         ","NBRE VENTE NET  ","CA NET          "
"0001","1","329.00","1","329.00"
"0002","2","658.00","1","658.00"
"0003","0","0.00","0","0.00"
"0004","3","2,557.00","3","2,557.00"
"0005","3","908.00","2","908.00"
"0006","0","0.00","0","0.00"
"0007","0","0.00","0","0.00"
"0008","2","658.00","1","658.00"
"0009","1","250.00","1","250.00"
"0010","6","1,974.00","2","1,974.00"
"0011","0","0.00","0","0.00"
"0012","2","658.00","1","658.00"
"0013","0","0.00","0","0.00"
"0014","1","329.00","1","329.00"
"0015","0","0.00","0","0.00"
"0016","3","366.00","2","366.00"
"0017","0","0.00","0","0.00"
"0018","1","329.00","1","329.00"
"0019","0","0.00","0","0.00"
"0020","0","0.00","0","0.00"
"0021","6","1,974.00","1","1,974.00"
"0022","2","1,879.00","2","1,879.00"
"0023","3","1,107.00","2","1,107.00"
"0024","0","0.00","0","0.00"
"0025","3","908.00","2","908.00"
"0026","0","0.00","0","0.00"
"0027","0","0.00","0","0.00"
"0028","2","478.00","1","478.00"
"0029","17","5,874.00","9","5,874.00"
"0030","2","658.00","1","658.00"
"0031","11","4,330.00","5","4,330.00"
