"MODELE          ","                "
"MACHINE         ","MC#01   "
"RAPPORT         ","VENT MENSUEL"
"FICHIER         ","FILE010"
"MODE            ","Z   "
"COMPTEUR Z      ","0080"
"DATE            ","02-05-2023"
"HEURE           ","08:36"

"ENREGISTREMENT  ","QTE VENTE BRUT  ","CA BRUT         ","NBRE VENTE NET  ","CA NET          "
"0001","1","229.00","1","229.00"
"0002","0","0.00","0","0.00"
"0003","24","7,656.00","12","7,656.00"
"0004","13","3,617.00","6","3,617.00"
"0005","9","2,762.00","4","2,762.00"
"0006","8","2,414.00","4","2,414.00"
"0007","7","2,284.00","4","2,284.00"
"0008","2","118.00","1","118.00"
"0009","0","0.00","0","0.00"
"0010","0","0.00","0","0.00"
"0011","3","957.00","1","957.00"
"0012","11","2,409.00","5","2,409.00"
"0013","6","1,914.00","2","1,914.00"
"0014","0","0.00","0","0.00"
"0015","2","758.00","2","758.00"
"0016","0","0.00","0","0.00"
"0017","1","699.00","1","699.00"
"0018","1","329.00","1","329.00"
"0019","2","130.00","2","130.00"
"0020","4","2,397.00","3","2,397.00"
"0021","5","1,645.00","3","1,645.00"
"0022","2","658.00","1","658.00"
"0023","0","0.00","0","0.00"
"0024","13","12,809.00","2","12,809.00"
"0025","4","1,258.00","2","1,258.00"
"0026","4","1,396.00","2","1,396.00"
"0027","5","1,333.00","3","1,333.00"
"0028","9","4,152.00","5","4,152.00"
"0029","11","4,172.00","5","4,172.00"
"0030","0","0.00","0","0.00"
"0031","0","0.00","0","0.00"
