"MODELE          ","                "
"MACHINE         ","MC#01   "
"RAPPORT         ","VENT MENSUEL"
"FICHIER         ","FILE010"
"MODE            ","Z   "
"COMPTEUR Z      ","0032"
"DATE            ","01-07-2023"
"HEURE           ","13:36"

"ENREGISTREMENT  ","QTE VENTE BRUT  ","CA BRUT         ","NBRE VENTE NET  ","CA NET          "
"0001","0","0.00","0","0.00"
"0002","14","4,248.00","3","4,248.00"
"0003","1","369.00","1","369.00"
"0004","0","0.00","0","0.00"
"0005","1","59.00","1","59.00"
"0006","0","0.00","0","0.00"
"0007","0","0.00","0","0.00"
"0008","7","2,303.00","3","2,303.00"
"0009","20","6,430.27","6","6,430.27"
"0010","0","0.00","0","0.00"
"0011","0","0.00","0","0.00"
"0012","0","0.00","0","0.00"
"0013","3","2,097.00","1","2,097.00"
"0014","4","1,056.00","2","1,056.00"
"0015","0","0.00","0","0.00"
"0016","2","658.00","1","658.00"
"0017","12","3,948.00","1","3,948.00"
"0018","0","0.00","0","0.00"
"0019","2","658.00","1","658.00"
"0020","0","0.00","0","0.00"
"0021","0","0.00","0","0.00"
"0022","0","0.00","0","0.00"
"0023","0","0.00","0","0.00"
"0024","1","329.00","1","329.00"
"0025","0","0.00","0","0.00"
"0026","0","0.00","0","0.00"
"0027","6","3,454.00","2","3,454.00"
"0028","6","2,978.00","1","2,978.00"
"0029","0","0.00","0","0.00"
"0030","1","329.00","1","329.00"
"0031","0","0.00","0","0.00"
