"MODELE          ","                "
"MACHINE         ","MC#01   "
"RAPPORT         ","VENT MENSUEL"
"FICHIER         ","FILE010"
"MODE            ","Z   "
"COMPTEUR Z      ","0087"
"DATE            ","01-12-2023"
"HEURE           ","14:22"

"ENREGISTREMENT  ","QTE VENTE BRUT  ","CA BRUT         ","NBRE VENTE NET  ","CA NET          "
"0001","0","0.00","0","0.00"
"0002","0","0.00","0","0.00"
"0003","0","0.00","0","0.00"
"0004","0","0.00","0","0.00"
"0005","0","0.00","0","0.00"
"0006","0","0.00","0","0.00"
"0007","0","0.00","0","0.00"
"0008","0","0.00","0","0.00"
"0009","0","0.00","0","0.00"
"0010","0","0.00","0","0.00"
"0011","0","0.00","0","0.00"
"0012","0","0.00","0","0.00"
"0013","0","0.00","0","0.00"
"0014","12","3,888.00","1","3,888.00"
"0015","0","0.00","0","0.00"
"0016","0","0.00","0","0.00"
"0017","0","0.00","0","0.00"
"0018","1","199.00","1","199.00"
"0019","0","0.00","0","0.00"
"0020","0","0.00","0","0.00"
"0021","0","0.00","0","0.00"
"0022","1","329.00","1","329.00"
"0023","0","0.00","0","0.00"
"0024","0","0.00","0","0.00"
"0025","5","1,645.00","2","1,645.00"
"0026","0","0.00","0","0.00"
"0027","0","0.00","0","0.00"
"0028","0","0.00","0","0.00"
"0029","0","0.00","0","0.00"
"0030","1","329.00","1","329.00"
"0031","0","0.00","0","0.00"
