"MODELE          ","                "
"MACHINE         ","MC#01   "
"RAPPORT         ","VENT MENSUEL"
"FICHIER         ","FILE010"
"MODE            ","Z   "
"COMPTEUR Z      ","0085"
"DATE            ","01-10-2023"
"HEURE           ","17:55"

"ENREGISTREMENT  ","QTE VENTE BRUT  ","CA BRUT         ","NBRE VENTE NET  ","CA NET          "
"0001","1","1.00","1","1.00"
"0002","4","1,316.00","3","1,316.00"
"0003","0","0.00","0","0.00"
"0004","1","149.00","1","149.00"
"0005","4","776.00","1","776.00"
"0006","10","3,230.00","3","3,230.00"
"0007","2","638.00","1","638.00"
"0008","3","497.00","1","497.00"
"0009","1","239.00","1","239.00"
"0010","0","0.00","0","0.00"
"0011","12","3,888.00","3","3,888.00"
"0012","2","558.00","2","558.00"
"0013","3","564.00","2","564.00"
"0014","4","767.90","3","767.90"
"0015","15","3,441.00","4","3,441.00"
"0016","2","638.00","1","638.00"
"0017","0","0.00","0","0.00"
"0018","5","1,066.60","3","1,066.60"
"0019","5","1,735.00","4","1,735.00"
"0020","0","0.00","0","0.00"
"0021","0","0.00","0","0.00"
"0022","1","389.00","1","389.00"
"0023","2","658.00","1","658.00"
"0024","0","0.00","0","0.00"
"0025","5","1,487.00","4","1,487.00"
"0026","1","329.00","1","329.00"
"0027","3","1,347.00","2","1,347.00"
"0028","4","1,706.00","3","1,706.00"
"0029","9","2,622.00","5","2,622.00"
"0030","18","5,891.00","9","5,891.00"
"0031","0","0.00","0","0.00"
