"MODELE          ","                "
"MACHINE         ","MC#01   "
"RAPPORT         ","VENT MENSUEL"
"FICHIER         ","FILE010"
"MODE            ","Z   "
"COMPTEUR Z      ","0033"
"DATE            ","01-08-2023"
"HEURE           ","09:15"

"ENREGISTREMENT  ","QTE VENTE BRUT  ","CA BRUT         ","NBRE VENTE NET  ","CA NET          "
"0001","12","4,963.00","5","4,963.00"
"0002","0","0.00","0","0.00"
"0003","6","1,974.00","1","1,974.00"
"0004","2","658.00","1","658.00"
"0005","3","807.00","2","807.00"
"0006","4","1,348.00","1","1,348.00"
"0007","6","1,665.00","4","1,665.00"
"0008","2","478.00","2","478.00"
"0009","0","0.00","0","0.00"
"0010","0","0.00","0","0.00"
"0011","0","0.00","0","0.00"
"0012","3","807.00","2","807.00"
"0013","0","0.00","0","0.00"
"0014","0","0.00","0","0.00"
"0015","9","5,239.00","5","5,239.00"
"0016","0","0.00","0","0.00"
"0017","0","0.00","0","0.00"
"0018","0","0.00","0","0.00"
"0019","1","239.00","1","239.00"
"0020","1","329.00","1","329.00"
"0021","3","3,725.00","2","3,725.00"
"0022","3","1,538.00","2","1,538.00"
"0023","0","0.00","0","0.00"
"0024","0","0.00","0","0.00"
"0025","2","898.00","2","898.00"
"0026","3","1,357.00","2","1,357.00"
"0027","8","2,632.00","4","2,632.00"
"0028","0","0.00","0","0.00"
"0029","6","1,474.00","3","1,474.00"
"0030","0","0.00","0","0.00"
"0031","3","987.00","1","987.00"
