nomfichier|E_MODELE|E_MACHINE|E_RAPPORT|E_FICHIER|E_MODE|E_COMPTEUR_Z|E_DATE|E_HEURE|D_ENREGISTREMENT|D_DESIGNATION|D_QUANTITE|D_MONTANT
Z101_01_052024_MASSENA.CSV||MC#01|FONC FIXES|FILE101|ZZ1|0077|2024-06-01|16:16|0041|NON TAXABLE|0|0.00
Z101_01_062024_MASSENA.CSV||MC#01|FONC FIXES|FILE101|ZZ1|0078|2024-07-01|11:33|0001|CA BRUT|110|33677.90
Z101_01_062024_MASSENA.CSV||MC#01|FONC FIXES|FILE101|ZZ1|0078|2024-07-01|11:33|0002|CA NET|47|33677.90
Z101_01_062024_MASSENA.CSV||MC#01|FONC FIXES|FILE101|ZZ1|0078|2024-07-01|11:33|0003|ESP.TIROIR|0|18295.90
Z101_01_062024_MASSENA.CSV||MC#01|FONC FIXES|FILE101|ZZ1|0078|2024-07-01|11:33|0004|CB.TIROIR|0|15382.00
Z101_01_062024_MASSENA.CSV||MC#01|FONC FIXES|FILE101|ZZ1|0078|2024-07-01|11:33|0005|CHQ.TIROIR|0|0.00
Z101_01_062024_MASSENA.CSV||MC#01|FONC FIXES|FILE101|ZZ1|0078|2024-07-01|11:33|0006|CR.TIROIR(1)|0|0.00
Z101_01_062024_MASSENA.CSV||MC#01|FONC FIXES|FILE101|ZZ1|0078|2024-07-01|11:33|0007|CR.TIROIR(2)|0|0.00
Z101_01_062024_MASSENA.CSV||MC#01|FONC FIXES|FILE101|ZZ1|0078|2024-07-01|11:33|0008|CR.TIROIR(3)|0|0.00
Z101_01_062024_MASSENA.CSV||MC#01|FONC FIXES|FILE101|ZZ1|0078|2024-07-01|11:33|0009|CR.TIROIR(4)|0|0.00
Z101_01_062024_MASSENA.CSV||MC#01|FONC FIXES|FILE101|ZZ1|0078|2024-07-01|11:33|0010|ESP.TIROIR2|0|0.00
Z101_01_062024_MASSENA.CSV||MC#01|FONC FIXES|FILE101|ZZ1|0078|2024-07-01|11:33|0011|CB.TIROIR2|0|0.00
