nomfichier|E_NUM_INTERNE|E_NUM_TICKET|E_DATE_TICKET|E_HEURE_TICKET|E_HT1|E_HT2|E_HT3|E_HT4|E_TVA1|E_TVA2|E_TVA3|E_TVA4|E_HT_NON_TAXABLE|E_TTC|E_MDP_CB|E_MDP_ESPECES|E_MDP_CHEQUES
EJ030225.TXT|005717|004591|2025-02-03|10:41|274.17||||54.83|||||329.00||329.00|
EJ010325.TXT|005725|004592|2025-02-03|14:34|1370.83||||274.17|||||1645.00|1645.00||
EJ010325.TXT|005726|004593|2025-02-03|14:35|1595.00||||319.00|||||1914.00|1914.00||
EJ010325.TXT|005727|004594|2025-02-03|14:35|1595.00||||319.00|||||1914.00|1914.00||
EJ010325.TXT|005728|004595|2025-02-06|12:47|830.00||||166.00|||||996.00||996.00|
EJ010325.TXT|005729|004596|2025-02-06|17:45|548.33||||109.67|||||658.00||658.00|
EJ010325.TXT|005730|004597|2025-02-07|16:53|208.33||||41.67|||||250.00||250.00|
EJ010325.TXT|005731|004598|2025-02-10|15:37|124.17||||24.83|||||149.00|149.00||
EJ010325.TXT|005732|004599|2025-02-11|11:31|465.83||||93.17|||||559.00|559.00||
EJ010325.TXT|005733|004600|2025-02-13|15:40|531.67||||106.33|||||638.00||638.00|
EJ010325.TXT|005734|004601|2025-02-15|17:39|548.33||||109.67|||||658.00|658.00||
EJ010325.TXT|005735|004602|2025-02-17|16:57|208.33||||41.67|||||250.00||250.00|
EJ010325.TXT|005736|004603|2025-02-19|14:17|816.67||||163.33|||||980.00||980.00|
EJ010325.TXT|005737|004604|2025-02-19|14:17|733.33||||146.67|||||880.00||880.00|
EJ010325.TXT|005738|004605|2025-02-20|15:41|548.33||||109.67|||||658.00||658.00|
EJ010325.TXT|005739|004606|2025-02-21|14:52|548.33||||109.67|||||658.00|658.00||
EJ010325.TXT|005740|004607|2025-02-21|15:29|208.33||||41.67|||||250.00||250.00|
EJ010325.TXT|005741|004608|2025-02-24|16:55|99.83||||19.97|||||119.80||119.80|
EJ010325.TXT|005742|004609|2025-02-25|10:24|458.33||||91.67|||||550.00||550.00|
EJ010325.TXT|005743|004610|2025-02-25|10:24|416.67||||83.33|||||500.00||500.00|
EJ010325.TXT|005744|004611|2025-02-25|12:05|833.33||||166.67|||||1000.00||1000.00|
EJ010325.TXT|005745|004612|2025-02-25|12:06|416.67||||83.33|||||500.00||500.00|
EJ010325.TXT|005746|004613|2025-02-25|15:53|1063.33||||212.67|||||1276.00||1276.00|
EJ010325.TXT|005747|004614|2025-02-28|18:33|689.17||||137.83|||||827.00||827.00|
EJ290325.TXT|005755|004615|2025-03-04|11:04|416.67||||83.33|||||500.00||500.00|
EJ290325.TXT|005756|004616|2025-03-04|16:20|548.33||||109.67|||||658.00||658.00|
EJ290325.TXT|005757|004617|2025-03-04|17:46|247.50||||49.50|||||297.00|297.00||
EJ290325.TXT|005758|004618|2025-03-04|18:21|822.50||||164.50|||||987.00||987.00|
EJ290325.TXT|005759|004619|2025-03-04|18:23|822.50||||164.50|||||987.00||987.00|
EJ290325.TXT|005760|004620|2025-03-05|10:28|416.67||||83.33|||||500.00||500.00|
EJ290325.TXT|005761|004621|2025-03-07|16:01|833.33||||166.67|||||1000.00|1000.00||
EJ290325.TXT|005762|004622|2025-03-08|17:39|199.17||||39.83|||||239.00|239.00||
EJ290325.TXT|005763|004623|2025-03-08|18:31|73.33||||14.67|||||88.00|88.00||
EJ290325.TXT|005764|004624|2025-03-10|11:34|49.92||||9.98|||||59.90||59.90|
EJ290325.TXT|005765|004625|2025-03-12|18:32|274.17||||54.83|||||329.00||329.00|
EJ290325.TXT|005766|004626|2025-03-13|15:59|324.17||||64.83|||||389.00|389.00||
EJ290325.TXT|005767|004627|2025-03-15|15:39|4579.17||||915.83|||||5495.00|5495.00||
EJ290325.TXT|005768|004628|2025-03-21|15:09|99.83||||19.97|||||119.80||119.80|
EJ290325.TXT|005769|004629|2025-03-21|15:32|274.17||||54.83|||||329.00||329.00|
EJ290325.TXT|005770|004630|2025-03-22|17:50|274.17||||54.83|||||329.00||329.00|
EJ290325.TXT|005771|004631|2025-03-24|11:20|190.83||||38.17|||||229.00|229.00||
EJ290325.TXT|005772|004632|2025-03-26|12:39|1412.50||||282.50|||||1695.00|1695.00||
EJ290325.TXT|005773|004633|2025-03-26|19:00|797.50||||159.50|||||957.00||957.00|
EJ290325.TXT|005774|004634|2025-03-26|19:00|531.67||||106.33|||||638.00||638.00|
EJ290325.TXT|005775|004635|2025-03-26|19:03|789.17||||157.83|||||947.00||947.00|
EJ290325.TXT|005776|004636|2025-03-26|19:03|274.17||||54.83|||||329.00||329.00|
