"MODELE          ","                "
"MACHINE         ","MC#01   "
"RAPPORT         ","VENT MENSUEL"
"FICHIER         ","FILE010"
"MODE            ","Z   "
"COMPTEUR Z      ","0094"
"DATE            ","01-07-2024"
"HEURE           ","11:35"

"ENREGISTREMENT  ","QTE VENTE BRUT  ","CA BRUT         ","NBRE VENTE NET  ","CA NET          "
"0001","2","996.00","1","996.00"
"0002","4","1,276.00","1","1,276.00"
"0003","2","1,398.00","2","1,398.00"
"0004","32","8,932.00","8","8,932.00"
"0005","2","579.00","2","579.00"
"0006","5","1,526.00","2","1,526.00"
"0007","1","250.00","1","250.00"
"0008","1","250.00","1","250.00"
"0009","0","0.00","0","0.00"
"0010","1","250.00","1","250.00"
"0011","0","0.00","0","0.00"
"0012","2","658.00","1","658.00"
"0013","1","54.90","1","54.90"
"0014","2","645.00","2","645.00"
"0015","0","0.00","0","0.00"
"0016","0","0.00","0","0.00"
"0017","0","0.00","0","0.00"
"0018","10","3,230.00","4","3,230.00"
"0019","2","658.00","1","658.00"
"0020","2","458.00","1","458.00"
"0021","13","4,138.00","6","4,138.00"
"0022","6","1,914.00","1","1,914.00"
"0023","0","0.00","0","0.00"
"0024","10","3,121.00","4","3,121.00"
"0025","1","229.00","1","229.00"
"0026","3","887.00","2","887.00"
"0027","0","0.00","0","0.00"
"0028","1","250.00","1","250.00"
"0029","7","1,978.00","3","1,978.00"
"0030","0","0.00","0","0.00"
"0031","0","0.00","0","0.00"
