"MODELE          ","                "
"MACHINE         ","MC#01   "
"RAPPORT         ","VENT MENSUEL"
"FICHIER         ","FILE010"
"MODE            ","Z   "
"COMPTEUR Z      ","0029"
"DATE            ","01-04-2023"
"HEURE           ","13:47"

"ENREGISTREMENT  ","QTE VENTE BRUT  ","CA BRUT         ","NBRE VENTE NET  ","CA NET          "
"0001","0","0.00","0","0.00"
"0002","0","0.00","0","0.00"
"0003","2","724.00","2","724.00"
"0004","0","0.00","0","0.00"
"0005","0","0.00","0","0.00"
"0006","1","329.00","1","329.00"
"0007","0","0.00","0","0.00"
"0008","2","658.00","1","658.00"
"0009","0","0.00","0","0.00"
"0010","0","0.00","0","0.00"
"0011","1","239.00","1","239.00"
"0012","0","0.00","0","0.00"
"0013","0","0.00","0","0.00"
"0014","0","0.00","0","0.00"
"0015","0","0.00","0","0.00"
"0016","5","1,645.00","2","1,645.00"
"0017","12","3,840.00","1","3,840.00"
"0018","5","2,782.00","2","2,782.00"
"0019","0","0.00","0","0.00"
"0020","2","658.00","1","658.00"
"0021","0","0.00","0","0.00"
"0022","0","0.00","0","0.00"
"0023","0","0.00","0","0.00"
"0024","0","0.00","0","0.00"
"0025","29","9,293.00","9","9,293.00"
"0026","6","1,914.00","2","1,914.00"
"0027","0","0.00","0","0.00"
"0028","2","658.00","1","658.00"
"0029","2","658.00","1","658.00"
"0030","0","0.00","0","0.00"
"0031","6","1,974.00","1","1,974.00"
