"MODELE          ","                "
"MACHINE         ","MC#01   "
"RAPPORT         ","VENT MENSUEL"
"FICHIER         ","FILE010"
"MODE            ","Z   "
"COMPTEUR Z      ","0041"
"DATE            ","02-04-2024"
"HEURE           ","14:10"

"ENREGISTREMENT  ","QTE VENTE BRUT  ","CA BRUT         ","NBRE VENTE NET  ","CA NET          "
"0001","5","1,645.00","2","1,645.00"
"0002","0","0.00","0","0.00"
"0003","0","0.00","0","0.00"
"0004","0","0.00","0","0.00"
"0005","6","1,974.00","2","1,974.00"
"0006","4","1,316.00","1","1,316.00"
"0007","2","478.00","1","478.00"
"0008","6","1,974.00","2","1,974.00"
"0009","3","1,107.00","1","1,107.00"
"0010","0","0.00","0","0.00"
"0011","0","0.00","0","0.00"
"0012","4","654.00","1","654.00"
"0013","3","712.90","2","712.90"
"0014","4","1,316.00","2","1,316.00"
"0015","0","0.00","0","0.00"
"0016","4","1,567.00","4","1,567.00"
"0017","0","0.00","0","0.00"
"0018","0","0.00","0","0.00"
"0019","2","293.90","1","293.90"
"0020","6","648.00","2","648.00"
"0021","1","99.00","1","99.00"
"0022","1","39.90","1","39.90"
"0023","8","2,632.00","3","2,632.00"
"0024","0","0.00","0","0.00"
"0025","0","0.00","0","0.00"
"0026","4","1,036.00","1","1,036.00"
"0027","0","0.00","0","0.00"
"0028","1","329.00","1","329.00"
"0029","1","329.00","1","329.00"
"0030","2","98.70","1","98.70"
"0031","0","0.00","0","0.00"
