"MODELE          ","                "
"MACHINE         ","MC#01   "
"RAPPORT         ","VENT MENSUEL"
"FICHIER         ","FILE010"
"MODE            ","Z   "
"COMPTEUR Z      ","0079"
"DATE            ","01-04-2023"
"HEURE           ","10:36"

"ENREGISTREMENT  ","QTE VENTE BRUT  ","CA BRUT         ","NBRE VENTE NET  ","CA NET          "
"0001","0","0.00","0","0.00"
"0002","0","0.00","0","0.00"
"0003","0","0.00","0","0.00"
"0004","0","0.00","0","0.00"
"0005","0","0.00","0","0.00"
"0006","5","1,105.00","2","1,105.00"
"0007","8","2,632.00","3","2,632.00"
"0008","5","1,166.00","2","1,166.00"
"0009","0","0.00","0","0.00"
"0010","0","0.00","0","0.00"
"0011","0","0.00","0","0.00"
"0012","0","0.00","0","0.00"
"0013","1","369.00","1","369.00"
"0014","12","3,828.00","4","3,828.00"
"0015","8","2,572.00","3","2,572.00"
"0016","3","967.00","2","967.00"
"0017","1","229.00","1","229.00"
"0018","18","5,003.00","9","5,003.00"
"0019","0","0.00","0","0.00"
"0020","6","1,280.00","3","1,280.00"
"0021","5","1,445.00","2","1,445.00"
"0022","1","250.00","1","250.00"
"0023","0","0.00","0","0.00"
"0024","3","908.00","2","908.00"
"0025","3","746.00","1","746.00"
"0026","0","0.00","0","0.00"
"0027","5","1,625.00","3","1,625.00"
"0028","9","2,901.00","3","2,901.00"
"0029","11","3,440.00","5","3,440.00"
"0030","3","957.00","1","957.00"
"0031","10","2,190.00","5","2,190.00"
