nomfichier;E_MODELE;E_MACHINE;E_RAPPORT;E_FICHIER;E_MODE;E_COMPTEUR_Z;E_DATE;E_HEURE;D_ENREGISTREMENT;D_DESIGNATION;D_QUANTITE;D_MONTANT
Z102_01_052024_MASSENA.CSV;;MC#01;TRANSACTION;FILE102;ZZ1;0077;2024-06-01;16:16;0001;ESPECES;17.00;8967.90
Z102_01_052024_MASSENA.CSV;;MC#01;TRANSACTION;FILE102;ZZ1;0077;2024-06-01;16:16;0002;SOUS-TOTAL;0.00;0.00
Z102_01_052024_MASSENA.CSV;;MC#01;TRANSACTION;FILE102;ZZ1;0077;2024-06-01;16:16;0003;CARTES;11.00;10232.30
Z102_01_052024_MASSENA.CSV;;MC#01;TRANSACTION;FILE102;ZZ1;0077;2024-06-01;16:16;0004;CHEQUES;0.00;0.00
Z102_01_052024_MASSENA.CSV;;MC#01;TRANSACTION;FILE102;ZZ1;0077;2024-06-01;16:16;0005;AIDE;0.00;0.00
Z102_01_052024_MASSENA.CSV;;MC#01;TRANSACTION;FILE102;ZZ1;0077;2024-06-01;16:16;0006;TAX PGM;0.00;0.00
Z102_01_052024_MASSENA.CSV;;MC#01;TRANSACTION;FILE102;ZZ1;0077;2024-06-01;16:16;0007;SORTIECAISSE;0.00;0.00
Z102_01_052024_MASSENA.CSV;;MC#01;TRANSACTION;FILE102;ZZ1;0077;2024-06-01;16:16;0008;REC&ACCOMPTE;0.00;0.00
Z102_01_052024_MASSENA.CSV;;MC#01;TRANSACTION;FILE102;ZZ1;0077;2024-06-01;16:16;0009;SIGN-OFF;0.00;0.00
Z102_01_052024_MASSENA.CSV;;MC#01;TRANSACTION;FILE102;ZZ1;0077;2024-06-01;16:16;0010;NUM CAISSIER;0.00;0.00
Z102_01_052024_MASSENA.CSV;;MC#01;TRANSACTION;FILE102;ZZ1;0077;2024-06-01;16:16;0011;SHIFT/No;0.00;0.00
Z102_01_052024_MASSENA.CSV;;MC#01;TRANSACTION;FILE102;ZZ1;0077;2024-06-01;16:16;0012;DWN;0.00;0.00
Z102_01_052024_MASSENA.CSV;;MC#01;TRANSACTION;FILE102;ZZ1;0077;2024-06-01;16:16;0013;REMISE %-;0.00;0.00
Z102_01_052024_MASSENA.CSV;;MC#01;TRANSACTION;FILE102;ZZ1;0077;2024-06-01;16:16;0014;REMISE -;0.00;0.00
Z102_01_052024_MASSENA.CSV;;MC#01;TRANSACTION;FILE102;ZZ1;0077;2024-06-01;16:16;0015;PLU;0.00;0.00
Z102_01_052024_MASSENA.CSV;;MC#01;TRANSACTION;FILE102;ZZ1;0077;2024-06-01;16:16;0016;PRIX;0.00;0.00
Z102_01_052024_MASSENA.CSV;;MC#01;TRANSACTION;FILE102;ZZ1;0077;2024-06-01;16:16;0017;TICKETON/OFF;0.00;0.00
Z102_01_052024_MASSENA.CSV;;MC#01;TRANSACTION;FILE102;ZZ1;0077;2024-06-01;16:16;0018;CORRECTION;0.00;0.00
Z102_01_052024_MASSENA.CSV;;MC#01;TRANSACTION;FILE102;ZZ1;0077;2024-06-01;16:16;0019;RETOUR;0.00;0.00
Z102_01_052024_MASSENA.CSV;;MC#01;TRANSACTION;FILE102;ZZ1;0077;2024-06-01;16:16;0020;OUVERTURE;0.00;0.00
Z102_01_052024_MASSENA.CSV;;MC#01;TRANSACTION;FILE102;ZZ1;0077;2024-06-01;16:16;0021;RAPPELTICKET;0.00;0.00
