"MODELE          ","                "
"MACHINE         ","MC#01   "
"RAPPORT         ","VENT MENSUEL"
"FICHIER         ","FILE010"
"MODE            ","Z   "
"COMPTEUR Z      ","0081"
"DATE            ","01-06-2023"
"HEURE           ","10:17"

"ENREGISTREMENT  ","QTE VENTE BRUT  ","CA BRUT         ","NBRE VENTE NET  ","CA NET          "
"0001","0","0.00","0","0.00"
"0002","26","7,876.00","6","7,876.00"
"0003","0","0.00","0","0.00"
"0004","0","0.00","0","0.00"
"0005","4","1,306.00","2","1,306.00"
"0006","1","329.00","1","329.00"
"0007","0","0.00","0","0.00"
"0008","0","0.00","0","0.00"
"0009","4","1,197.00","2","1,197.00"
"0010","7","2,464.00","2","2,464.00"
"0011","7","2,153.00","3","2,153.00"
"0012","7","2,343.00","2","2,343.00"
"0013","16","4,934.00","3","4,934.00"
"0014","0","0.00","0","0.00"
"0015","2","658.00","1","658.00"
"0016","1","250.00","1","250.00"
"0017","0","0.00","0","0.00"
"0018","0","0.00","0","0.00"
"0019","6","1,065.00","4","1,065.00"
"0020","18","8,802.00","7","8,802.00"
"0021","0","0.00","0","0.00"
"0022","0","0.00","0","0.00"
"0023","2","658.00","1","658.00"
"0024","5","1,304.00","3","1,304.00"
"0025","3","987.00","2","987.00"
"0026","4","1,078.00","2","1,078.00"
"0027","3","447.00","2","447.00"
"0028","0","0.00","0","0.00"
"0029","3","537.00","2","537.00"
"0030","0","0.00","0","0.00"
"0031","6","1,974.00","1","1,974.00"
