"MODELE          ","                "
"MACHINE         ","MC#01   "
"RAPPORT         ","VENT MENSUEL"
"FICHIER         ","FILE010"
"MODE            ","Z   "
"COMPTEUR Z      ","0092"
"DATE            ","30-04-2024"
"HEURE           ","17:47"

"ENREGISTREMENT  ","QTE VENTE BRUT  ","CA BRUT         ","NBRE VENTE NET  ","CA NET          "
"0001","0","0.00","0","0.00"
"0002","0","0.00","0","0.00"
"0003","3","1,357.00","2","1,357.00"
"0004","1","49.90","1","49.90"
"0005","1","250.00","1","250.00"
"0006","1","329.00","1","329.00"
"0007","0","0.00","0","0.00"
"0008","2","558.00","1","558.00"
"0009","0","0.00","0","0.00"
"0010","2","658.00","1","658.00"
"0011","0","0.00","0","0.00"
"0012","1","239.00","1","239.00"
"0013","14","3,526.00","3","3,526.00"
"0014","0","0.00","0","0.00"
"0015","0","0.00","0","0.00"
"0016","1","49.90","1","49.90"
"0017","2","658.00","1","658.00"
"0018","0","0.00","0","0.00"
"0019","0","0.00","0","0.00"
"0020","4","946.00","4","946.00"
"0021","0","0.00","0","0.00"
"0022","1","250.00","1","250.00"
"0023","0","0.00","0","0.00"
"0024","0","0.00","0","0.00"
"0025","7","2,123.00","3","2,123.00"
"0026","0","0.00","0","0.00"
"0027","1","99.00","1","99.00"
"0028","0","0.00","0","0.00"
"0029","1","49.90","1","49.90"
"0030","2","349.00","2","349.00"
"0031","0","0.00","0","0.00"
