"MODELE          ","                "
"MACHINE         ","MC#01   "
"RAPPORT         ","VENT MENSUEL"
"FICHIER         ","FILE010"
"MODE            ","Z   "
"COMPTEUR Z      ","0078"
"DATE            ","03-03-2023"
"HEURE           ","19:15"

"ENREGISTREMENT  ","QTE VENTE BRUT  ","CA BRUT         ","NBRE VENTE NET  ","CA NET          "
"0001","10","2,341.00","6","2,341.00"
"0002","50","8,990.00","12","8,990.00"
"0003","14","8,302.00","12","8,302.00"
"0004","0","0.00","0","0.00"
"0005","0","0.00","0","0.00"
"0006","5","1,445.00","2","1,445.00"
"0007","5","2,375.00","4","2,375.00"
"0008","9","2,637.00","3","2,637.00"
"0009","29","9,321.00","4","9,321.00"
"0010","0","0.00","0","0.00"
"0011","8","468.00","2","468.00"
"0012","0","0.00","0","0.00"
"0013","7","433.00","2","433.00"
"0014","2","478.00","2","478.00"
"0015","0","0.00","0","0.00"
"0016","0","0.00","0","0.00"
"0017","2","658.00","1","658.00"
"0018","2","658.00","1","658.00"
"0019","0","0.00","0","0.00"
"0020","7","1,975.00","3","1,975.00"
"0021","0","0.00","0","0.00"
"0022","0","0.00","0","0.00"
"0023","5","1,145.00","2","1,145.00"
"0024","14","5,977.00","5","5,977.00"
"0025","13","4,078.00","7","4,078.00"
"0026","0","0.00","0","0.00"
"0027","3","746.00","2","746.00"
"0028","2","738.00","2","738.00"
"0029","0","0.00","0","0.00"
"0030","0","0.00","0","0.00"
"0031","0","0.00","0","0.00"
