"MODELE          ","                "
"MACHINE         ","MC#01   "
"RAPPORT         ","VENT MENSUEL"
"FICHIER         ","FILE010"
"MODE            ","Z   "
"COMPTEUR Z      ","0088"
"DATE            ","01-01-2024"
"HEURE           ","17:16"

"ENREGISTREMENT  ","QTE VENTE BRUT  ","CA BRUT         ","NBRE VENTE NET  ","CA NET          "
"0001","5","1,975.00","3","1,975.00"
"0002","26","8,354.00","11","8,354.00"
"0003","2","1,360.00","1","1,360.00"
"0004","0","0.00","0","0.00"
"0005","0","0.00","0","0.00"
"0006","0","0.00","0","0.00"
"0007","2","438.00","2","438.00"
"0008","18","5,022.00","1","5,022.00"
"0009","0","0.00","0","0.00"
"0010","0","0.00","0","0.00"
"0011","0","0.00","0","0.00"
"0012","0","0.00","0","0.00"
"0013","0","0.00","0","0.00"
"0014","0","0.00","0","0.00"
"0015","0","0.00","0","0.00"
"0016","0","0.00","0","0.00"
"0017","0","0.00","0","0.00"
"0018","0","0.00","0","0.00"
"0019","0","0.00","0","0.00"
"0020","1","699.00","1","699.00"
"0021","3","987.00","1","987.00"
"0022","4","1,237.00","3","1,237.00"
"0023","8","2,632.00","4","2,632.00"
"0024","0","0.00","0","0.00"
"0025","0","0.00","0","0.00"
"0026","12","3,969.00","6","3,969.00"
"0027","2","478.00","1","478.00"
"0028","1","329.00","1","329.00"
"0029","0","0.00","0","0.00"
"0030","2","658.00","1","658.00"
"0031","0","0.00","0","0.00"
