"MODELE          ","                "
"MACHINE         ","MC#01   "
"RAPPORT         ","VENT MENSUEL"
"FICHIER         ","FILE010"
"MODE            ","Z   "
"COMPTEUR Z      ","0044"
"DATE            ","01-07-2024"
"HEURE           ","11:11"

"ENREGISTREMENT  ","QTE VENTE BRUT  ","CA BRUT         ","NBRE VENTE NET  ","CA NET          "
"0001","4","217.70","3","217.70"
"0002","0","0.00","0","0.00"
"0003","3","987.00","2","987.00"
"0004","0","0.00","0","0.00"
"0005","0","0.00","0","0.00"
"0006","1","329.00","1","329.00"
"0007","0","0.00","0","0.00"
"0008","0","0.00","0","0.00"
"0009","0","0.00","0","0.00"
"0010","0","0.00","0","0.00"
"0011","0","0.00","0","0.00"
"0012","0","0.00","0","0.00"
"0013","4","1,316.00","4","1,316.00"
"0014","1","699.00","1","699.00"
"0015","2","827.00","2","827.00"
"0016","0","0.00","0","0.00"
"0017","0","0.00","0","0.00"
"0018","2","658.00","1","658.00"
"0019","0","0.00","0","0.00"
"0020","2","658.00","1","658.00"
"0021","0","0.00","0","0.00"
"0022","0","0.00","0","0.00"
"0023","0","0.00","0","0.00"
"0024","0","0.00","0","0.00"
"0025","6","24,600.00","1","24,600.00"
"0026","6","1,734.00","4","1,734.00"
"0027","0","0.00","0","0.00"
"0028","1","48.90","1","48.90"
"0029","3","1,053.00","2","1,053.00"
"0030","0","0.00","0","0.00"
"0031","0","0.00","0","0.00"
