"MODELE          ","                "
"MACHINE         ","MC#01   "
"RAPPORT         ","VENT MENSUEL"
"FICHIER         ","FILE010"
"MODE            ","Z   "
"COMPTEUR Z      ","0107"
"DATE            ","31-07-2025"
"HEURE           ","18:40"

"ENREGISTREMENT  ","QTE VENTE BRUT  ","CA BRUT         ","NBRE VENTE NET  ","CA NET          "
"0001","0","0.00","0","0.00"
"0002","0","0.00","0","0.00"
"0003","0","0.00","0","0.00"
"0004","0","0.00","0","0.00"
"0005","0","0.00","0","0.00"
"0006","0","0.00","0","0.00"
"0007","2","558.00","2","558.00"
"0008","6","1,974.00","1","1,974.00"
"0009","0","0.00","0","0.00"
"0010","0","0.00","0","0.00"
"0011","1","229.00","1","229.00"
"0012","0","0.00","0","0.00"
"0013","0","0.00","0","0.00"
"0014","0","0.00","0","0.00"
"0015","13","5,675.90","7","5,675.90"
"0016","9","3,384.00","5","3,384.00"
"0017","0","0.00","0","0.00"
"0018","13","6,708.00","7","6,708.00"
"0019","0","0.00","0","0.00"
"0020","0","0.00","0","0.00"
"0021","0","0.00","0","0.00"
"0022","0","0.00","0","0.00"
"0023","3","790.00","2","790.00"
"0024","0","0.00","0","0.00"
"0025","1","149.00","1","149.00"
"0026","0","0.00","0","0.00"
"0027","0","0.00","0","0.00"
"0028","0","0.00","0","0.00"
"0029","0","0.00","0","0.00"
"0030","3","717.00","1","717.00"
"0031","0","0.00","0","0.00"
