"MODELE          ","                "
"MACHINE         ","MC#01   "
"RAPPORT         ","VENT MENSUEL"
"FICHIER         ","FILE010"
"MODE            ","Z   "
"COMPTEUR Z      ","0091"
"DATE            ","02-04-2024"
"HEURE           ","10:02"

"ENREGISTREMENT  ","QTE VENTE BRUT  ","CA BRUT         ","NBRE VENTE NET  ","CA NET          "
"0001","0","0.00","0","0.00"
"0002","1","250.00","1","250.00"
"0003","0","0.00","0","0.00"
"0004","5","655.00","3","655.00"
"0005","13","821.00","2","821.00"
"0006","2","458.00","1","458.00"
"0007","0","0.00","0","0.00"
"0008","2","500.00","2","500.00"
"0009","4","925.90","2","925.90"
"0010","0","0.00","0","0.00"
"0011","0","0.00","0","0.00"
"0012","0","0.00","0","0.00"
"0013","0","0.00","0","0.00"
"0014","0","0.00","0","0.00"
"0015","3","908.00","2","908.00"
"0016","0","0.00","0","0.00"
"0017","0","0.00","0","0.00"
"0018","3","908.00","2","908.00"
"0019","1","239.00","1","239.00"
"0020","0","0.00","0","0.00"
"0021","4","737.60","2","737.60"
"0022","3","908.00","2","908.00"
"0023","3","977.00","2","977.00"
"0024","0","0.00","0","0.00"
"0025","0","0.00","0","0.00"
"0026","0","0.00","0","0.00"
"0027","0","0.00","0","0.00"
"0028","2","579.00","2","579.00"
"0029","3","338.80","2","338.80"
"0030","21","6,105.80","11","6,105.80"
"0031","0","0.00","0","0.00"
