"MODELE          ","                "
"MACHINE         ","MC#01   "
"RAPPORT         ","VENT MENSUEL"
"FICHIER         ","FILE010"
"MODE            ","Z   "
"COMPTEUR Z      ","0038"
"DATE            ","05-01-2024"
"HEURE           ","16:34"

"ENREGISTREMENT  ","QTE VENTE BRUT  ","CA BRUT         ","NBRE VENTE NET  ","CA NET          "
"0001","0","0.00","0","0.00"
"0002","0","0.00","0","0.00"
"0003","0","0.00","0","0.00"
"0004","-2","-176.00","1","-176.00"
"0005","0","0.00","0","0.00"
"0006","0","0.00","0","0.00"
"0007","0","0.00","0","0.00"
"0008","-2","-558.00","1","-558.00"
"0009","-3","-717.00","1","-717.00"
"0010","0","0.00","0","0.00"
"0011","-4","-1,316.00","1","-1,316.00"
"0012","-1","-329.00","1","-329.00"
"0013","0","0.00","0","0.00"
"0014","-4","-1,106.00","2","-1,106.00"
"0015","-5","-1,615.00","2","-1,615.00"
"0016","-3","-757.00","2","-757.00"
"0017","0","0.00","0","0.00"
"0018","-2","-658.00","2","-658.00"
"0019","-1","-45.00","1","-45.00"
"0020","-5","-1,143.00","4","-1,143.00"
"0021","-4","-1,316.00","2","-1,316.00"
"0022","-10","-3,006.00","4","-3,006.00"
"0023","0","0.00","0","0.00"
"0024","0","0.00","0","0.00"
"0025","0","0.00","0","0.00"
"0026","-6","-1,614.00","3","-1,614.00"
"0027","-2","-658.00","1","-658.00"
"0028","0","0.00","0","0.00"
"0029","-5","-1,996.00","3","-1,996.00"
"0030","-9","-2,811.00","4","-2,811.00"
"0031","0","0.00","0","0.00"
